# side(0=real,1=sim) event ncl R_cm rms_cm medtb
0 7 16 460.56 0.0270 785.1
0 7 27 126.72 0.0346 937.3
0 7 23 54.52 0.0590 815.6
0 7 39 152.33 0.0754 690.3
0 7 20 132.29 0.0377 25.7
0 7 22 130.03 0.0894 787.0
0 7 16 88.85 0.0379 286.3
0 7 41 112.86 0.0537 724.5
0 7 19 143.40 0.0396 735.7
0 7 31 95.48 0.0603 193.4
0 7 35 92.01 0.0464 396.5
0 7 31 74.67 0.0908 410.9
0 7 38 1121.51 0.0479 717.7
0 7 18 90.80 0.0278 305.8
0 7 17 107.31 0.0481 530.9
0 7 17 55.52 0.1421 698.7
0 7 35 130.67 0.0646 165.3
0 7 20 172.49 0.0283 791.1
0 7 15 49.27 0.1012 652.0
0 7 29 60.04 0.0866 776.0
0 7 43 111.59 0.0648 402.8
0 7 25 93.27 0.0846 551.4
0 7 16 53.12 0.0994 525.3
0 7 33 95.11 0.0805 338.6
0 7 33 61.44 0.0883 738.4
0 7 39 221.31 0.0461 713.5
0 7 36 66.03 0.0507 609.1
0 7 31 80.62 0.0679 214.3
0 7 33 86.01 0.0640 613.8
0 7 24 45.20 0.1213 914.7
0 7 21 56.01 0.1063 918.6
0 7 46 308.46 0.0756 411.6
0 7 32 52.20 0.1239 411.2
0 7 26 83.42 0.0474 475.8
0 7 17 110.37 0.0201 66.1
0 7 17 552.15 0.0270 732.3
0 7 28 105.35 0.0525 118.6
0 7 35 267.32 0.0400 408.0
0 7 16 64.89 0.0530 771.6
0 7 27 97.49 0.0558 788.3
0 7 33 48.12 0.1097 209.9
0 7 34 51.10 0.1059 682.8
0 7 43 61.18 0.1044 451.7
0 7 38 91.13 0.0669 735.0
0 7 33 207.75 0.0511 180.8
0 7 43 299.94 0.0642 694.3
0 7 21 168.15 0.0717 265.2
0 7 18 72.78 0.1068 903.8
0 7 27 74.37 0.1083 233.7
0 7 28 62.75 0.0421 691.9
0 7 22 67.76 0.0789 864.9
0 7 17 101.94 0.0866 246.3
0 7 17 63.10 0.1508 717.7
0 7 25 75.90 0.0541 411.1
0 7 43 97.72 0.0718 465.6
0 7 19 85.28 0.0611 257.8
0 7 32 146.14 0.0508 938.8
0 7 20 52.14 0.0765 212.2
0 7 18 47.05 0.0595 744.5
0 7 20 80.75 0.0434 596.8
0 7 22 90.48 0.0610 692.0
0 7 30 117.75 0.0596 442.3
0 7 24 92.02 0.0900 593.8
0 7 32 81.43 0.0850 370.9
0 7 34 56.32 0.1066 900.6
0 7 17 56.13 0.1210 683.8
0 7 39 546.60 0.0675 731.1
0 7 20 94.49 0.1076 800.5
0 7 16 403.35 0.0985 846.9
0 7 43 106.59 0.0353 145.5
0 7 35 74.50 0.0941 773.8
0 7 39 81.34 0.0674 726.8
0 7 34 115.98 0.0635 422.9
0 7 45 110.08 0.0456 854.2
0 7 32 171.32 0.0452 400.6
0 7 22 308.10 0.0420 911.9
0 7 21 69.36 0.1098 715.9
0 7 25 51.12 0.0547 798.7
0 7 33 859.34 0.0557 742.8
0 7 35 85.36 0.0843 728.8
0 7 24 79.26 0.0677 722.7
0 7 30 414.15 0.0636 454.9
0 7 36 127.79 0.0646 850.1
0 7 20 87.31 0.0493 625.8
0 7 21 201.32 0.0397 619.0
0 7 24 81.27 0.0996 718.3
0 7 22 129.25 0.0488 775.6
0 7 43 116.27 0.0690 755.9
0 7 36 145.70 0.0639 701.5
0 7 15 51.82 0.0638 179.9
0 7 39 67.69 0.0835 312.6
0 7 26 48.55 0.1282 181.9
0 7 13 62.74 0.0339 737.2
0 7 29 63.44 0.0776 117.3
0 7 27 94.78 0.0594 350.8
0 7 42 146.13 0.0583 451.9
0 7 14 555.83 0.1281 37.7
0 7 36 46.60 0.0772 116.3
0 7 23 910.52 0.1201 319.8
0 7 32 64.28 0.0582 761.8
0 7 14 123.83 0.0844 427.3
0 7 22 198.31 0.0905 910.9
0 7 43 120.89 0.0377 501.9
0 7 43 341.89 0.0512 726.5
0 7 30 109.01 0.0393 664.9
0 7 28 181.81 0.0547 770.3
0 7 14 54.84 0.0980 301.3
0 7 21 78.79 0.0463 163.4
0 7 33 59.40 0.0872 394.2
0 7 30 133.77 0.0626 750.6
0 7 34 258.38 0.0551 766.7
0 7 29 185.61 0.0433 558.3
0 7 16 88.58 0.0705 320.3
0 7 24 119.73 0.0472 494.7
0 7 27 53.70 0.0918 184.4
0 7 32 89.20 0.0312 366.7
0 7 25 123.10 0.0520 762.4
0 7 36 62.82 0.0994 911.7
0 7 31 81.85 0.0476 416.0
0 7 39 53.38 0.1192 879.7
0 7 18 61.23 0.0360 574.1
0 7 25 63.89 0.0785 797.0
0 7 40 68.30 0.0715 397.3
0 7 37 91.67 0.0610 496.6
0 7 20 67.94 0.0332 832.7
0 7 28 50.78 0.0536 680.9
0 7 26 79.43 0.0794 862.8
0 7 26 52.08 0.1048 692.6
0 7 33 66.72 0.0664 701.3
0 7 37 48.93 0.0954 934.6
0 7 19 266.24 0.0294 600.6
0 7 24 50.11 0.0711 769.6
0 7 16 87.43 0.0341 644.1
0 7 25 65.14 0.0914 453.8
0 7 29 66.02 0.0770 155.0
0 7 24 136.92 0.0527 559.1
0 7 22 54.36 0.0717 651.7
0 7 28 52.10 0.0872 902.5
0 7 29 92.78 0.0293 708.8
0 7 35 80.22 0.0510 770.7
0 7 16 50.67 0.0386 596.2
0 7 29 45.38 0.0794 295.2
0 7 16 46.37 0.1701 654.3
0 7 29 57.20 0.1081 688.8
0 7 16 315.09 0.0145 252.4
0 7 36 119.46 0.0681 187.6
0 7 15 94.96 0.1392 259.3
0 7 16 325.40 0.0471 939.1
0 7 16 335.55 0.1031 891.6
0 7 36 207.19 0.0819 222.1
0 7 25 91.52 0.0492 726.3
0 7 24 97.53 0.0411 156.8
0 7 29 178.42 0.0531 473.0
0 7 19 106.38 0.0733 564.4
0 7 27 49.10 0.0865 649.1
0 7 26 117.94 0.0426 89.1
0 7 17 59.50 0.0343 821.2
0 7 18 62.86 0.0649 884.7
0 7 24 96.72 0.0342 737.2
0 7 13 45.28 0.1434 705.3
0 8 15 351.08 0.0314 123.5
0 8 16 84.18 0.0551 43.3
0 8 16 123.55 0.0843 507.8
0 8 25 260.75 0.0435 487.9
0 8 15 124.13 0.0282 927.7
0 8 13 64.21 0.0637 867.3
0 8 22 72.94 0.0677 331.3
0 8 26 73.44 0.0757 718.3
0 8 21 132.11 0.0664 656.7
0 8 15 400.95 0.1465 590.9
0 8 27 140.05 0.0630 275.7
0 8 25 78.28 0.0855 840.9
0 8 18 86.50 0.0841 25.4
0 8 16 65.61 0.0185 500.3
0 8 21 78.46 0.0708 621.4
0 8 44 114.48 0.0583 42.6
0 8 24 235.50 0.0471 29.7
0 8 13 164.75 0.0360 703.0
0 8 33 56.32 0.1214 35.7
0 8 31 67.19 0.0739 23.9
0 8 29 147.41 0.0363 889.3
0 8 15 69.45 0.0751 80.7
0 8 25 127.01 0.0453 574.8
0 8 15 621.65 0.0894 6.1
0 8 24 232.43 0.0389 33.3
0 8 16 53.00 0.1072 18.5
0 8 16 97.85 0.0903 167.6
0 8 14 94.66 0.1172 462.9
0 8 17 52.02 0.0995 612.3
0 8 15 80.01 0.1685 14.8
0 8 47 210.53 0.0313 767.1
0 8 20 64.70 0.0641 276.4
0 8 21 254.33 0.0410 817.6
0 8 16 162.12 0.0402 302.8
0 8 15 150.49 0.1322 603.7
0 8 19 66.52 0.1293 173.2
0 8 17 110.46 0.0216 16.6
0 8 16 153.96 0.0279 58.5
0 8 16 131.29 0.0510 395.6
0 8 16 242.07 0.0229 359.0
0 8 22 108.99 0.0489 37.7
0 8 14 772.88 0.0108 241.3
0 8 15 244.10 0.0432 210.3
0 8 16 56.49 0.0248 35.4
0 8 14 70.82 0.0962 57.6
0 8 34 154.40 0.0418 19.5
0 8 17 188.67 0.0258 35.1
0 8 16 206.00 0.0504 471.3
0 8 16 150.60 0.0201 217.2
0 8 16 71.03 0.1098 605.5
0 8 14 100.41 0.0523 642.9
0 8 16 334.25 0.1018 832.9
0 8 18 99.48 0.0554 27.2
0 8 15 151.35 0.0530 319.9
0 8 14 127.35 0.0236 755.4
0 8 14 53.34 0.0986 697.2
0 8 13 280.06 0.0838 470.0
0 8 16 87.19 0.0653 35.8
0 8 16 63.44 0.0551 747.4
0 9 26 185.91 0.0747 679.7
0 9 20 82.65 0.0570 736.2
0 9 25 52.02 0.0901 668.7
0 9 30 107.92 0.0783 348.6
0 9 41 105.84 0.0647 133.2
0 9 39 64.64 0.0804 479.9
0 9 15 167.04 0.0547 682.7
0 9 28 342.93 0.0350 496.7
0 9 14 62.64 0.0200 391.4
0 9 13 223.46 0.0918 613.3
0 9 13 178.56 0.0542 97.2
0 9 36 51.14 0.0872 616.6
0 9 35 66.49 0.0974 478.8
0 9 23 116.17 0.0354 438.1
0 9 27 69.05 0.0441 527.9
0 9 13 49.44 0.0442 602.2
0 9 25 129.53 0.0833 74.2
0 9 31 123.20 0.0510 700.0
0 9 16 92.20 0.0465 462.6
0 9 17 57.76 0.0148 791.6
0 9 16 49.77 0.0310 875.3
0 9 31 184.85 0.0355 683.4
0 9 16 68.91 0.0222 302.8
0 9 28 133.25 0.0352 65.9
0 9 33 66.20 0.1118 622.8
0 9 32 69.46 0.0786 901.1
0 9 13 49.18 0.0896 449.1
0 9 26 51.53 0.1187 686.0
0 9 33 121.92 0.0739 96.1
0 9 18 194.90 0.0450 239.0
0 9 15 176.69 0.0509 510.9
0 9 22 249.73 0.0678 440.6
0 9 14 302.51 0.0298 96.5
0 9 25 73.20 0.0555 356.0
0 9 18 67.32 0.0489 105.5
0 9 16 80.78 0.0262 189.4
0 9 16 118.04 0.0305 507.6
0 9 16 200.21 0.0532 937.9
0 9 17 52.67 0.0336 566.6
0 9 16 71.56 0.0602 651.1
0 9 20 128.51 0.0438 952.5
0 9 17 128.80 0.0559 293.5
0 9 14 74.18 0.0587 239.2
0 9 19 113.59 0.0193 794.0
0 9 30 139.98 0.0467 694.2
0 9 32 78.03 0.0643 911.3
0 9 33 97.05 0.0630 595.1
0 9 29 107.55 0.0824 150.2
0 9 36 99.91 0.0516 117.1
0 9 17 57.35 0.1032 582.4
0 9 37 233.61 0.0443 620.3
0 9 20 79.26 0.0570 153.2
0 9 39 82.30 0.0738 543.1
0 9 23 101.52 0.0597 812.0
0 9 29 99.51 0.0653 722.4
0 9 35 82.35 0.0755 440.4
0 9 27 55.54 0.0848 101.3
0 9 13 132.80 0.1438 82.7
0 9 16 57.94 0.0880 460.0
0 9 14 74.82 0.1076 164.3
0 9 32 93.94 0.0466 799.5
0 9 14 45.19 0.0768 412.5
0 9 33 97.98 0.0797 692.1
0 9 34 73.37 0.0676 488.4
0 9 14 83.25 0.0521 647.8
0 9 21 52.82 0.1154 256.6
0 9 33 94.91 0.0881 392.8
0 9 40 52.71 0.0810 35.0
0 9 21 51.77 0.0807 476.2
0 9 23 52.10 0.0999 788.8
0 9 27 133.78 0.0486 221.6
0 9 15 96.32 0.0348 720.4
0 9 25 118.74 0.0334 518.5
0 9 33 711.06 0.0575 388.0
0 9 40 145.58 0.0659 497.5
0 9 31 133.98 0.0438 602.7
0 9 16 209.28 0.0340 901.2
0 9 21 47.69 0.0620 761.2
0 9 16 1189.82 0.0310 724.6
0 9 29 210.71 0.0816 904.1
0 9 17 123.91 0.1077 65.9
0 9 22 75.96 0.0460 845.4
0 9 20 465.75 0.0704 242.3
0 9 37 142.89 0.0768 225.0
0 9 26 86.16 0.0621 789.4
0 9 19 72.34 0.0863 857.1
0 9 28 87.76 0.0797 212.7
0 9 13 141.65 0.0311 929.8
0 9 29 116.31 0.0438 573.1
0 9 20 109.41 0.0354 395.1
0 9 26 93.83 0.0514 539.1
0 9 16 437.25 0.0366 519.4
0 9 36 134.42 0.0558 630.8
0 9 33 77.32 0.0416 285.8
0 9 16 86.13 0.1549 501.0
0 9 31 92.62 0.0776 831.2
0 9 14 211.31 0.0229 454.7
0 9 16 96.11 0.0815 796.4
0 9 26 99.78 0.0867 136.6
0 9 15 85.81 0.0652 692.7
0 9 17 84.90 0.1493 916.3
0 9 15 71.05 0.0315 319.4
0 9 15 111.63 0.0626 711.2
0 9 15 116.02 0.0948 735.7
0 9 17 63.18 0.0342 365.6
0 9 19 94.54 0.0451 567.3
0 9 21 71.46 0.0679 575.6
0 9 18 72.48 0.0407 498.6
0 9 13 98.78 0.1212 522.2
0 9 16 96.31 0.0155 32.5
0 9 14 57.35 0.0563 397.0
0 9 13 74.33 0.0792 95.4
0 9 13 227.62 0.1017 652.0
0 9 19 204.00 0.0439 880.3
0 9 17 49.44 0.1273 619.8
0 9 24 116.95 0.0299 201.4
0 9 21 137.62 0.0332 473.1
0 9 17 691.08 0.0304 309.2
0 10 43 190.45 0.0521 277.6
0 10 42 68.43 0.0737 869.7
0 10 30 87.27 0.0759 347.7
0 10 29 107.42 0.0482 873.1
0 10 38 107.16 0.0858 191.9
0 10 16 68.85 0.0485 492.7
0 10 45 102.18 0.0406 401.1
0 10 32 152.26 0.0568 789.4
0 10 39 463.63 0.0446 593.9
0 10 23 73.83 0.0717 908.8
0 10 30 54.15 0.0855 179.3
0 10 36 98.45 0.0695 58.1
0 10 14 83.85 0.0607 775.7
0 10 21 163.52 0.0496 432.9
0 10 31 636.57 0.0296 862.8
0 10 13 500.62 0.0627 865.7
0 10 15 60.20 0.0843 924.1
0 10 28 142.91 0.0648 820.2
0 10 37 81.08 0.1049 812.6
0 10 21 106.04 0.0630 288.3
0 10 35 192.85 0.0373 334.6
0 10 32 95.04 0.0498 712.9
0 10 19 86.49 0.0796 293.1
0 10 14 59.50 0.0126 16.5
0 10 24 172.27 0.0318 423.6
0 10 22 70.84 0.0596 119.4
0 10 22 111.90 0.0416 888.5
0 10 21 447.68 0.0393 658.9
0 10 43 96.96 0.0522 257.0
0 10 28 51.69 0.0943 570.6
0 10 36 67.26 0.0637 792.8
0 10 42 64.47 0.0871 151.4
0 10 30 61.64 0.0750 201.7
0 10 20 275.83 0.0363 537.2
0 10 45 76.52 0.0673 816.9
0 10 28 126.15 0.0379 841.0
0 10 15 46.87 0.1432 551.5
0 10 18 94.03 0.0351 62.6
0 10 27 147.75 0.0817 836.3
0 10 27 95.11 0.0912 853.5
0 10 43 126.30 0.0361 718.5
0 10 27 119.56 0.0408 182.0
0 10 42 236.33 0.0464 152.6
0 10 19 80.50 0.0296 793.7
0 10 36 134.01 0.0562 261.3
0 10 39 145.71 0.0622 756.0
0 10 25 203.56 0.0334 302.2
0 10 16 76.85 0.0411 928.1
0 10 23 170.86 0.0417 174.8
0 10 30 116.33 0.0537 587.5
0 10 16 143.31 0.0291 183.0
0 10 18 45.06 0.1253 834.9
0 10 31 148.98 0.0392 15.8
0 10 40 191.65 0.0472 458.1
0 10 32 143.42 0.0565 863.8
0 10 33 90.98 0.0484 851.6
0 10 35 114.29 0.0715 837.0
0 10 37 154.17 0.0577 99.9
0 10 14 45.65 0.1556 166.7
0 10 36 220.18 0.0652 564.2
0 10 33 97.17 0.0647 177.6
0 10 23 115.36 0.0481 601.9
0 10 38 97.73 0.0737 873.5
0 10 19 114.49 0.0245 150.2
0 10 15 59.02 0.0269 943.3
0 10 16 829.16 0.0269 776.5
0 10 20 103.30 0.0509 192.9
0 10 39 107.41 0.0832 237.2
0 10 15 141.13 0.1406 176.6
0 10 30 106.64 0.0848 84.4
0 10 22 58.01 0.0880 66.1
0 10 18 68.66 0.0383 421.8
0 10 43 85.60 0.0524 863.8
0 10 32 319.46 0.0924 872.6
0 10 21 2823.47 0.0401 110.1
0 10 29 62.10 0.1267 837.9
0 10 17 50.66 0.0540 944.0
0 10 25 121.81 0.0380 76.9
0 10 44 143.22 0.0408 148.3
0 10 29 271.58 0.0267 747.3
0 10 24 430.82 0.0414 217.2
0 10 33 176.35 0.0420 39.9
0 10 19 53.60 0.0331 415.8
0 10 29 222.60 0.0429 97.0
0 10 22 71.03 0.0650 305.8
0 10 19 72.00 0.0860 925.9
0 10 18 63.14 0.0776 441.1
0 10 29 56.46 0.0942 782.4
0 10 43 89.44 0.0662 166.9
0 10 21 667.39 0.0403 167.6
0 10 28 140.03 0.0500 201.7
0 10 24 108.12 0.0565 757.9
0 10 20 51.88 0.1104 167.4
0 10 20 61.19 0.0970 125.3
0 10 21 419.37 0.0629 831.7
0 10 34 87.37 0.0677 864.3
0 10 27 73.61 0.0587 372.1
0 10 25 279.10 0.0792 28.0
0 10 32 274.08 0.0455 79.6
0 10 37 98.75 0.0862 77.9
0 10 31 119.00 0.0824 111.9
0 10 26 87.33 0.0579 426.0
0 10 16 175.52 0.1315 805.7
0 10 28 72.72 0.0726 237.3
0 10 15 68.76 0.0597 389.7
0 10 36 188.98 0.0398 443.3
0 10 17 704.58 0.0308 712.7
