# pilot_compmeter_v61wx.txt — 2026-09-11 re-measure of the v6.1 pilot composition meter
# (island_post/pilot_compmeter.C) with the WIDE-ROW EXCLUSION (probe METER-OWNER FLAG,
# width_rebalance_request.md 2026-09-10): wideExcl=1 skips rows whose kept pads span > 3 cm
# in r-phi (wrap-safe) before the row means are formed; wideExcl=0 = the 2026-08-23 meter.
# Inputs: chunk-0 CRN pilot digis (2000 ev; base55 = no twist SMOD 0.0426, base6t = twist SMOD
# 0.0426, smod009 = twist SMOD 0.009) and the v6.1 production digi (md5 d0a5df64). keepfrac
# 0.49 = deterministic px-density degrade to real's px/row (the 2026-08-23 dilution control).
# Real reference (probe battery, road-grouped, exclusion is a no-op on real): C(d)/C(0)
# d1/2/4/8 = 0.30/0.18/0.08/-0.06.
# columns: PCOMP tag tracks | C(d)/C(0) d1 d2 d4 d8 | cellcoh (cells) | rowRMS=sqrt(C(0)) | wideExcl: rows excluded/total, tracks affected
PCOMP base55         tracks 16081 | C(d)/C(0): d1 0.649 d2 0.561 d4 0.498 d8 0.343 | cellcoh 122 um (1152 cells) | rowRMS 1247 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP base55         tracks 16080 | C(d)/C(0): d1 0.046 d2 -0.075 d4 -0.069 d8 -0.048 | cellcoh 111 um (1152 cells) | rowRMS 822 um | wideExcl 1: rows 256/564875 (0.05%) trks 11 (0.1%)
PCOMP base6t         tracks 16060 | C(d)/C(0): d1 0.629 d2 0.539 d4 0.477 d8 0.312 | cellcoh 132 um (1152 cells) | rowRMS 1294 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP base6t         tracks 16058 | C(d)/C(0): d1 0.104 d2 -0.011 d4 -0.024 d8 -0.052 | cellcoh 121 um (1152 cells) | rowRMS 893 um | wideExcl 1: rows 271/563338 (0.05%) trks 10 (0.1%)
PCOMP smod009        tracks 16071 | C(d)/C(0): d1 0.688 d2 0.590 d4 0.519 d8 0.338 | cellcoh 133 um (1152 cells) | rowRMS 1249 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP smod009        tracks 16070 | C(d)/C(0): d1 0.140 d2 0.003 d4 -0.023 d8 -0.060 | cellcoh 122 um (1152 cells) | rowRMS 824 um | wideExcl 1: rows 253/563661 (0.04%) trks 11 (0.1%)
PCOMP base55_kf049   tracks 16019 | C(d)/C(0): d1 0.721 d2 0.646 d4 0.574 d8 0.400 | cellcoh 128 um (1151 cells) | rowRMS 1366 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP base55_kf049   tracks 16018 | C(d)/C(0): d1 0.003 d2 -0.081 d4 -0.079 d8 -0.053 | cellcoh 113 um (1151 cells) | rowRMS 910 um | wideExcl 1: rows 233/474994 (0.05%) trks 10 (0.1%)
PCOMP prod_v61       tracks 100785 | C(d)/C(0): d1 0.662 d2 0.568 d4 0.440 d8 0.209 | cellcoh 144 um (1152 cells) | rowRMS 1625 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP prod_v61       tracks 100294 | C(d)/C(0): d1 0.198 d2 0.089 d4 0.031 d8 -0.051 | cellcoh 138 um (1152 cells) | rowRMS 952 um | wideExcl 1: rows 27686/3468101 (0.80%) trks 813 (0.8%)
PCOMP prod_v61f      tracks 100286 | C(d)/C(0): d1 0.203 d2 0.092 d4 0.030 d8 -0.048 | cellcoh 138 um (1152 cells) | rowRMS 957 um | wideExcl 1: rows 27794/3468027 (0.80%) trks 814 (0.8%)
PCOMP prod_v6t       tracks 100775 | C(d)/C(0): d1 0.643 d2 0.547 d4 0.424 d8 0.202 | cellcoh 148 um (1152 cells) | rowRMS 1685 um | wideExcl 0: rows 0/0 (0.00%) trks 0 (0.0%)
PCOMP prod_v6tf      tracks 100276 | C(d)/C(0): d1 0.170 d2 0.060 d4 0.025 d8 -0.041 | cellcoh 141 um (1152 cells) | rowRMS 1004 um | wideExcl 1: rows 27746/3467992 (0.80%) trks 816 (0.8%)
