# world_tune_pick v7scan: chi2 vs PHENIX pi/K/p (|y|<0.35, per inelastic, 5% gen floor) + dNch/deta target 2.33+-0.12; 20 points
rank label                                   chi2tot  chi2pi   chi2K   chi2p  chi2dn   dnde  <r>pi   <r>K   <r>p    eps   <pT>
   1 scan_p2.60_s0.380_k0.270_q0.110           840.4   424.3   241.7   170.7     3.7  2.099  1.029  1.047  1.041  0.510  0.460
   2 scan_p2.60_s0.380_k0.217_q0.095           874.1   466.9   202.8   201.0     3.5  2.107  1.095  0.893  1.012  0.507  0.463
   3 scan_p2.60_s0.380_k0.217_q0.110           927.5   430.2   241.0   252.7     3.6  2.103  1.099  0.881  1.089  0.506  0.463
   4 scan_p2.60_s0.380_k0.270_q0.095           968.6   457.5   314.5   193.2     3.4  2.108  1.059  1.027  0.953  0.512  0.460
   5 scan_p2.60_s0.380_k0.300_q0.095           989.9   399.1   351.6   235.6     3.5  2.105  1.045  1.138  0.897  0.511  0.460
   6 scan_p2.80_s0.420_k0.217_q0.081          1034.7   559.1   205.3   258.9    11.4  1.925  1.134  0.925  0.845  0.495  0.481
   7 scan_p2.60_s0.380_k0.270_q0.081          1036.8   532.4   291.5   210.2     2.6  2.136  1.075  1.089  0.843  0.512  0.462
   8 scan_p2.60_s0.380_k0.300_q0.110          1041.5   407.9   336.1   293.4     4.2  2.085  1.008  1.100  0.940  0.511  0.460
   9 scan_p2.80_s0.380_k0.217_q0.081          1119.2   411.6   285.9   411.4    10.4  1.944  0.969  0.814  0.744  0.508  0.458
  10 scan_p2.45_s0.335_k0.217_q0.081          1134.2   650.1   274.5   209.5     0.2  2.378  1.128  0.926  0.956  0.520  0.444
  11 scan_p2.60_s0.335_k0.217_q0.081          1197.0   507.2   375.8   312.5     1.4  2.186  0.953  0.797  0.795  0.518  0.438
  12 scan_p2.60_s0.380_k0.217_q0.081          1207.5   644.5   257.8   303.0     2.2  2.152  1.114  0.932  0.867  0.506  0.463
  13 scan_p2.60_s0.380_k0.300_q0.081          1216.5   429.1   429.1   356.0     2.3  2.147  1.101  1.151  0.749  0.513  0.460
  14 scan_p2.60_s0.420_k0.217_q0.081          1253.9   936.7   147.8   166.1     3.3  2.112  1.331  1.042  0.970  0.497  0.487
  15 scan_p2.45_s0.380_k0.217_q0.081          1423.3  1002.3   209.0   212.1     0.0  2.331  1.321  1.032  1.017  0.515  0.469
  16 scan_p2.80_s0.335_k0.217_q0.081          1516.0   430.9   477.7   599.9     7.6  1.999  0.871  0.706  0.643  0.516  0.432
  17 scan_p2.28_s0.335_k0.217_q0.081          1517.3  1108.8   248.2   153.5     6.7  2.641  1.348  1.092  1.147  0.527  0.449
  18 scan_p2.45_s0.420_k0.217_q0.081          2263.5  1806.7   229.5   227.2     0.1  2.291  1.505  1.154  1.059  0.504  0.490
  19 scan_p2.28_s0.380_k0.217_q0.081          2647.7  2119.0   373.1   150.4     5.1  2.601  1.555  1.238  1.230  0.512  0.475
  20 scan_p2.28_s0.420_k0.217_q0.081          4112.2  3412.6   461.2   235.6     2.8  2.531  1.722  1.317  1.347  0.505  0.499
